"Cash on delivery prices","Cash on delivery prices"
"Local destinations","Local destinations"
"Foreign destinations","Foreign destinations"
"Cash on delivery","Cash on delivery"
"Enable Cash on delivery","Enable Cash on delivery"
"MSP Cash on delivery prices - Local fee","MSP Cash on delivery prices - Local fee"
"Add New Price Rule","Add New Price Rule"
"MSP Cash on delivery prices - Foreign fee","MSP Cash on delivery prices - Foreign fee"
"From amount","From amount"
"Apply fee","Apply fee"
"Apply from amount","Apply from amount"
"Cash on delivery fee","Cash on delivery fee"
"You will be charged an extra fee of %s","A futárszolgálat %s Ft-ot számít fel a készpénzkezelés miatt."
"You will be charged an extra fee of %s (Incl. Taxes %s)","A futárszolgálat %s Ft-ot számít fel a készpénzkezelés miatt.(%s ÁFÁ-t tartalmaz)"
"You will be charged an extra fee of %s Incl. Taxes","A futárszolgálat %s Ft-ot számít fel a készpénzkezelés miatt. (Bruttó)"
"Fee Amount","Fee Amount"
"Apply","Apply"
"Cash On Delivery", "Cash On Delivery"
"Cash on Delivery - %s (%d%%)","Cash on Delivery - %s (%d%%)"
"Cash on Delivery Tax (%d%%)","Cash on Delivery Tax (%d%%)"
"Cash on Delivery Taxes","Cash on Delivery Taxes"
"Cash On Delivery Taxes","Cash On Delivery Taxes"
"Tax Class for Cash On Delivery","Tax Class for Cash On Delivery"
"Display Cash On Delivery Amount","Display Cash On Delivery Amount"
"This rule already exists, please select another amount","This rule already exists, please select another amount"
"Fixed Fee","Fixed Fee"
"Percentual Fee","Percentual Fee"
"Rule was successfully saved","Rule was successfully saved"
"Add Rule","Add Rule"
"Edit Rule","Edit Rule"
"Standard local fixed fee", "Standard local fixed fee"
"Standard foreign fixed fee", "Standard foreign fixed fee"
"Calculate subtotal including shipping","Calculate subtotal including shipping"
"Calculate subtotal including taxes","Calculate subtotal including taxes"
"Additional text displayed on the payment method selection","Additional text displayed on the payment method selection"
"Cash on delivery price including taxes","Cash on delivery price including taxes"